price,drive
18990,4wd
29990,rwd
6995,fwd
27500,fwd
31495,4wd
13967,fwd
39590,4wd
5000,4wd
6900,fwd
35998,4wd
4995,rwd
64900,4wd
14777,fwd
38975,4wd
13995,fwd
11499,fwd
29990,rwd
28999,4wd
39500,4wd
11988,fwd
5590,fwd
14590,fwd
13500,4wd
36990,4wd
9500,4wd
16985,rwd
15995,fwd
42990,fwd
7995,fwd
18495,4wd
6950,fwd
5500,rwd
15500,4wd
3500,fwd
24775,4wd
38590,4wd
10900,fwd
37990,rwd
7499,fwd
13995,4wd
192,4wd
3195,4wd
15288,4wd
14995,fwd
65750,4wd
2470,fwd
20990,fwd
24900,rwd
124900,rwd
10900,4wd
25590,rwd
10500,fwd
10990,fwd
19990,fwd
14753,fwd
7495,4wd
2600,rwd
25990,rwd
38995,4wd
16900,fwd
5990,fwd
20790,4wd
8750,4wd
22998,rwd
233,fwd
34990,rwd
21500,4wd
11950,rwd
4250,rwd
13990,fwd
37990,rwd
31590,4wd
44999,4wd
52944,4wd
17990,4wd
24990,4wd
30990,rwd
18990,fwd
6550,fwd
4495,4wd
6100,rwd
16500,4wd
49990,4wd
18998,fwd
4150,4wd
2000,fwd
18566,fwd
650,fwd
39692,4wd
26990,fwd
39999,4wd
8999,fwd
22900,4wd
50995,4wd
20990,fwd
18910,4wd
30000,4wd
5200,4wd
18700,fwd
49498,4wd
12000,4wd
7500,rwd
11491,fwd
13995,rwd
15522,4wd
10995,rwd
44999,4wd
32995,4wd
24990,fwd
16990,fwd
12800,4wd
21695,rwd
32990,4wd
45000,4wd
17590,fwd
37998,4wd
73932,4wd
32988,4wd
6995,fwd
8995,4wd
23995,fwd
19798,4wd
13990,fwd
124,rwd
73981,4wd
5200,rwd
33990,4wd
15590,fwd
5000,4wd
24900,4wd
9000,4wd
11995,fwd
39590,rwd
3999,fwd
13267,fwd
6950,fwd
31990,4wd
20990,4wd
98000,rwd
19990,fwd
38912,4wd
7990,fwd
11950,rwd
16495,4wd
3999,fwd
40995,4wd
15950,4wd
3995,fwd
7900,4wd
23999,4wd
37990,rwd
36990,4wd
43590,4wd
6298,fwd
42998,4wd
6395,4wd
2999,fwd
12099,4wd
34990,4wd
3450,4wd
12995,fwd
20900,rwd
9750,4wd
1800,fwd
1895,fwd
33980,4wd
26249,4wd
16590,fwd
40990,4wd
24900,rwd
39900,rwd
541,4wd
31990,4wd
33990,rwd
999,fwd
4950,rwd
53999,4wd
15489,4wd
31999,rwd
16850,fwd
16590,fwd
8016,fwd
13000,4wd
25000,rwd
